Fold 1: RMSE=0.018500, MAE=0.011296, Sharpe=0.4510, Train dates 2017-01-04–2017-06-29, Valid dates 2017-07-06–2018-01-11
Fold 2: RMSE=0.019736, MAE=0.012563, Sharpe=0.2083, Train dates 2017-01-04–2017-12-29, Valid dates 2018-01-11–2018-07-12
Fold 3: RMSE=0.021243, MAE=0.013765, Sharpe=0.3075, Train dates 2017-01-04–2018-07-05, Valid dates 2018-07-12–2019-01-16
Fold 4: RMSE=0.019607, MAE=0.012513, Sharpe=0.2532, Train dates 2017-01-04–2019-01-08, Valid dates 2019-01-16–2019-07-18
Fold 5: RMSE=0.017816, MAE=0.011341, Sharpe=0.1637, Train dates 2017-01-04–2019-07-10, Valid dates 2019-07-18–2020-01-20
Fold 6: RMSE=0.025652, MAE=0.017038, Sharpe=0.0747, Train dates 2017-01-04–2020-01-10, Valid dates 2020-01-20–2020-07-15
Fold 7: RMSE=0.021899, MAE=0.014340, Sharpe=0.1833, Train dates 2017-01-04–2020-07-08, Valid dates 2020-07-15–2021-01-12
Fold 8: RMSE=0.019350, MAE=0.012837, Sharpe=0.3087, Train dates 2017-01-04–2021-01-04, Valid dates 2021-01-12–2021-07-05
Fold 9: RMSE=0.018982, MAE=0.012131, Sharpe=0.2140, Train dates 2017-01-04–2021-06-28, Valid dates 2021-07-05–2021-12-27
Fold 10: RMSE=0.020149, MAE=0.013270, Sharpe=0.0964, Train dates 2017-01-04–2021-12-20, Valid dates 2021-12-27–2022-06-23
